shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
[@12.0.11838882@]10_20251005,-41.28897686787095,174.72331063145455,0,0.0
[@12.0.11838882@]10_20251005,-41.2889578,174.7233285,1,2.5929714287805394
[@12.0.11838882@]10_20251005,-41.288931,174.7233,2,6.406966108386432
[@12.0.11838882@]10_20251005,-41.288894,174.723289,3,10.622783324043802
[@12.0.11838882@]10_20251005,-41.288853,174.723283,4,15.209255292604697
[@12.0.11838882@]10_20251005,-41.288814,174.72328,5,19.553523763929935
[@12.0.11838882@]10_20251005,-41.288767,174.723371,6,28.780348862539743
[@12.0.11838882@]10_20251005,-41.28872,174.723445,7,36.876064642726526
[@12.0.11838882@]10_20251005,-41.288668,174.723511,8,44.866447592397975
[@12.0.11838882@]10_20251005,-41.288638,174.723544,9,49.19408722385848
[@12.0.11838882@]10_20251005,-41.288544,174.723634,10,62.07000556621176
[@12.0.11838882@]10_20251005,-41.288149,174.723917,11,111.95222756392604
[@12.0.11838882@]10_20251005,-41.288101,174.723949,12,117.92184706173694
[@12.0.11838882@]10_20251005,-41.287767,174.724135,13,158.18140943399143
[@12.0.11838882@]10_20251005,-41.287632,174.724256,14,176.27974785112636
[@12.0.11838882@]10_20251005,-41.287529,174.724407,15,193.31900451816904
[@12.0.11838882@]10_20251005,-41.287418,174.724612,16,214.4312010862517
[@12.0.11838882@]10_20251005,-41.287357,174.724726,17,226.1248414948369
[@12.0.11838882@]10_20251005,-41.287309,174.724815,18,235.27909823785416
[@12.0.11838882@]10_20251005,-41.287279,174.72487,19,240.9569988701845
[@12.0.11838882@]10_20251005,-41.287179,174.725055,20,259.99812099170595
[@12.0.11838882@]10_20251005,-41.2870808,174.7252478,21,279.4591892945603
[@12.0.11838882@]10_20251005,-41.28700485,174.7252091,22,288.5020069409081
[@12.0.11838882@]10_20251005,-41.2870808,174.7252478,23,297.54482458725585
[@12.0.11838882@]10_20251005,-41.286982,174.725442,24,317.1401962771326
[@12.0.11838882@]10_20251005,-41.286905,174.725672,25,338.1786242153996
[@12.0.11838882@]10_20251005,-41.286856,174.725904,26,358.3143369690207
[@12.0.11838882@]10_20251005,-41.286855,174.726026,27,368.5087401065277
[@12.0.11838882@]10_20251005,-41.286866,174.726147,28,378.6929711726892
[@12.0.11838882@]10_20251005,-41.28688,174.72636,29,396.5579927659196
[@12.0.11838882@]10_20251005,-41.286892,174.726529,30,410.74123149240177
