service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2_4_20251005,0,0,0,0,0,0,0,20251005,20251115
605_20251005,0,0,0,0,0,0,0,20251005,20251115
4015_1_20251005,0,0,0,0,0,0,0,20251005,20251115
301_14_20251005,0,0,0,0,0,0,0,20251005,20251115
305_20251005,0,0,0,0,0,0,0,20251005,20251115
208_5_20251005,0,0,0,0,0,0,0,20251005,20251115
3132_20251005,0,0,0,0,0,0,0,20251005,20251115
2021_20251005,0,0,0,0,0,0,0,20251005,20251115
120_2_20251005,0,0,0,0,0,0,0,20251005,20251115
706_1_20251005,0,0,0,0,0,0,0,20251005,20251115
104_1_20251005,0,0,0,0,0,0,0,20251005,20251115
4040_1_20251005,0,0,0,0,0,0,0,20251005,20251115
8102_20251005,0,0,0,0,0,0,0,20251005,20251115
6102_20251005,0,0,0,0,0,0,0,20251005,20251115
1072_20251005,0,0,0,0,0,0,0,20251005,20251115
4026_1_20251005,0,0,0,0,0,0,0,20251005,20251115
4074_1_20251005,0,0,0,0,0,0,0,20251005,20251115
103_6_20251005,0,0,0,0,0,0,0,20251005,20251115
6031_20251005,0,0,0,0,0,0,0,20251005,20251115
215_20251005,0,0,0,0,0,0,0,20251005,20251115
39_5_20251005,0,0,0,0,0,0,0,20251005,20251115
8091_20251005,0,0,0,0,0,0,0,20251005,20251115
211_20251005,0,0,0,0,0,0,0,20251005,20251115
12_5_20251005,0,0,0,0,0,0,0,20251005,20251115
4211_2_20251005,0,0,0,0,0,0,0,20251005,20251115
152_1_20251005,0,0,0,0,0,0,0,20251005,20251115
401_20251005,0,0,0,0,0,0,0,20251005,20251115
3161_20251005,0,0,0,0,0,0,0,20251005,20251115
504_4_20251005,0,0,0,0,0,0,0,20251005,20251115
2101_20251005,0,0,0,0,0,0,0,20251005,20251115
206_4_20251005,0,0,0,0,0,0,0,20251005,20251115
301_7_20251005,0,0,0,0,0,0,0,20251005,20251115
2121_20251005,0,0,0,0,0,0,0,20251005,20251115
528_1_20251005,0,0,0,0,0,0,0,20251005,20251115
4027_1_20251005,0,0,0,0,0,0,0,20251005,20251115
62_1_20251005,0,0,0,0,0,0,0,20251005,20251115
223_1_20251005,0,0,0,0,0,0,0,20251005,20251115
2022_20251005,0,0,0,0,0,0,0,20251005,20251115
31_2_20251005,0,0,0,0,0,0,0,20251005,20251115
302_8_20251005,0,0,0,0,0,0,0,20251005,20251115
102_5_20251005,0,0,0,0,0,0,0,20251005,20251115
310_10_20251005,0,0,0,0,0,0,0,20251005,20251115
3312_20251005,0,0,0,0,0,0,0,20251005,20251115
114_3_20251005,0,0,0,0,0,0,0,20251005,20251115
118_4_20251005,0,0,0,0,0,0,0,20251005,20251115
3_2_20251005,0,0,0,0,0,0,0,20251005,20251115
410_20251005,0,0,0,0,0,0,0,20251005,20251115
203_20251005,0,0,0,0,0,0,0,20251005,20251115
6111_20251005,0,0,0,0,0,0,0,20251005,20251115
521_1_20251005,0,0,0,0,0,0,0,20251005,20251115
81_20251005,0,0,0,0,0,0,0,20251005,20251115
2091_20251005,0,0,0,0,0,0,0,20251005,20251115
4002_1_20251005,0,0,0,0,0,0,0,20251005,20251115
515_1_20251005,0,0,0,0,0,0,0,20251005,20251115
4083_1_20251005,0,0,0,0,0,0,0,20251005,20251115
