service_id,date,exception_type
205_20251005,20251024,1
205_20251005,20251028,1
205_20251005,20251029,1
205_20251005,20251030,1
205_20251005,20251031,1
205_20251005,20251103,1
205_20251005,20251104,1
205_20251005,20251105,1
205_20251005,20251106,1
205_20251005,20251107,1
205_20251005,20251110,1
205_20251005,20251111,1
205_20251005,20251112,1
205_20251005,20251113,1
205_20251005,20251114,1
7072_20251005,20251011,1
7072_20251005,20251018,1
7072_20251005,20251025,1
7072_20251005,20251101,1
7072_20251005,20251108,1
7072_20251005,20251115,1
111_5_20251005,20251011,1
111_5_20251005,20251018,1
111_5_20251005,20251025,1
111_5_20251005,20251101,1
111_5_20251005,20251108,1
111_5_20251005,20251115,1
902_1_20251005,20251010,1
902_1_20251005,20251017,1
902_1_20251005,20251024,1
902_1_20251005,20251031,1
902_1_20251005,20251107,1
902_1_20251005,20251114,1
703_1_20251005,20251011,1
703_1_20251005,20251018,1
703_1_20251005,20251025,1
703_1_20251005,20251101,1
703_1_20251005,20251108,1
703_1_20251005,20251115,1
206_4_20251005,20251011,1
206_4_20251005,20251018,1
206_4_20251005,20251025,1
206_4_20251005,20251101,1
206_4_20251005,20251108,1
206_4_20251005,20251115,1
410_20251005,20251006,1
410_20251005,20251007,1
410_20251005,20251008,1
410_20251005,20251009,1
410_20251005,20251010,1
410_20251005,20251013,1
410_20251005,20251014,1
410_20251005,20251015,1
410_20251005,20251016,1
410_20251005,20251017,1
410_20251005,20251020,1
410_20251005,20251021,1
410_20251005,20251022,1
410_20251005,20251023,1
410_20251005,20251024,1
410_20251005,20251028,1
410_20251005,20251029,1
410_20251005,20251030,1
410_20251005,20251031,1
410_20251005,20251103,1
410_20251005,20251104,1
410_20251005,20251105,1
410_20251005,20251106,1
410_20251005,20251107,1
410_20251005,20251110,1
410_20251005,20251111,1
410_20251005,20251112,1
410_20251005,20251113,1
410_20251005,20251114,1
404_2_20251005,20251005,1
404_2_20251005,20251012,1
404_2_20251005,20251019,1
404_2_20251005,20251026,1
404_2_20251005,20251027,1
404_2_20251005,20251102,1
404_2_20251005,20251109,1
235_2_20251005,20251006,1
235_2_20251005,20251007,1
235_2_20251005,20251008,1
235_2_20251005,20251009,1
235_2_20251005,20251010,1
235_2_20251005,20251013,1
235_2_20251005,20251014,1
235_2_20251005,20251015,1
235_2_20251005,20251016,1
235_2_20251005,20251017,1
235_2_20251005,20251020,1
235_2_20251005,20251021,1
235_2_20251005,20251022,1
235_2_20251005,20251023,1
235_2_20251005,20251024,1
235_2_20251005,20251028,1
235_2_20251005,20251029,1
235_2_20251005,20251030,1
235_2_20251005,20251031,1
235_2_20251005,20251103,1
235_2_20251005,20251104,1
235_2_20251005,20251105,1
235_2_20251005,20251106,1
235_2_20251005,20251107,1
235_2_20251005,20251110,1
235_2_20251005,20251111,1
235_2_20251005,20251112,1
235_2_20251005,20251113,1
235_2_20251005,20251114,1
4005_1_20251005,20251006,1
4005_1_20251005,20251007,1
4005_1_20251005,20251008,1
4005_1_20251005,20251009,1
4005_1_20251005,20251010,1
4005_1_20251005,20251013,1
4005_1_20251005,20251014,1
4005_1_20251005,20251015,1
4005_1_20251005,20251016,1
4005_1_20251005,20251017,1
4005_1_20251005,20251020,1
4005_1_20251005,20251021,1
4005_1_20251005,20251022,1
4005_1_20251005,20251023,1
4005_1_20251005,20251024,1
4005_1_20251005,20251028,1
4005_1_20251005,20251029,1
4005_1_20251005,20251030,1
