stop_pattern_id,stop_id,stop_sequence,timepoint
737_1_20251005,4327,5,1
737_1_20251005,4325,6,0
737_1_20251005,4324,7,0
737_1_20251005,4323,8,0
737_1_20251005,4322,9,0
737_1_20251005,4321,10,0
737_1_20251005,4320,11,0
737_1_20251005,4319,12,1
737_1_20251005,4918,13,0
737_1_20251005,4917,14,0
737_1_20251005,4916,15,0
737_1_20251005,4915,16,1
737_1_20251005,6906,17,0
737_1_20251005,6908,18,0
737_1_20251005,6909,19,0
737_1_20251005,6013,20,0
737_1_20251005,6010,21,1
445_0_20251005,2031,0,1
445_0_20251005,2164,1,0
445_0_20251005,2166,2,0
445_0_20251005,2168,3,0
445_0_20251005,2170,4,0
445_0_20251005,2172,5,0
445_0_20251005,2174,6,0
445_0_20251005,2176,7,0
445_0_20251005,2178,8,0
445_0_20251005,2005,9,0
445_0_20251005,2001,10,1
677_0_20251005,4333,0,1
677_0_20251005,4381,1,0
677_0_20251005,4320,2,0
677_0_20251005,4319,3,0
677_0_20251005,4918,4,0
677_0_20251005,4917,5,0
677_0_20251005,4916,6,0
677_0_20251005,4915,7,0
677_0_20251005,6906,8,0
677_0_20251005,6908,9,0
677_0_20251005,6710,10,0
677_0_20251005,6711,11,0
677_0_20251005,6712,12,0
677_0_20251005,6713,13,0
677_0_20251005,6714,14,0
677_0_20251005,6715,15,0
677_0_20251005,6716,16,0
677_0_20251005,6718,17,0
677_0_20251005,6719,18,0
677_0_20251005,6720,19,1
677_0_20251005,6721,20,0
677_0_20251005,6722,21,0
677_0_20251005,6723,22,0
677_0_20251005,6724,23,0
677_0_20251005,6725,24,0
677_0_20251005,6726,25,0
677_0_20251005,6727,26,0
677_0_20251005,6728,27,0
677_0_20251005,6729,28,0
677_0_20251005,6730,29,1
677_0_20251005,6732,30,0
677_0_20251005,7755,31,0
677_0_20251005,7748,32,0
677_0_20251005,6746,33,0
677_0_20251005,6417,34,0
677_0_20251005,6418,35,0
677_0_20251005,6419,36,0
677_0_20251005,6125,37,0
677_0_20251005,6126,38,0
677_0_20251005,6128,39,0
677_0_20251005,6129,40,0
677_0_20251005,6131,41,0
677_0_20251005,6132,42,0
677_0_20251005,6133,43,0
677_0_20251005,6134,44,0
677_0_20251005,6158,45,1
654_0_20251005,6010,0,1
654_0_20251005,6015,1,0
654_0_20251005,6055,2,0
654_0_20251005,6119,3,0
654_0_20251005,6120,4,0
654_0_20251005,6121,5,0
654_0_20251005,6122,6,1
654_0_20251005,6123,7,0
654_0_20251005,6124,8,0
654_0_20251005,6125,9,0
654_0_20251005,6126,10,0
654_0_20251005,6128,11,0
654_0_20251005,6129,12,0
654_0_20251005,6131,13,0
654_0_20251005,6132,14,0
654_0_20251005,6133,15,0
654_0_20251005,6136,16,0
654_0_20251005,6137,17,0
654_0_20251005,6139,18,0
654_0_20251005,6101,19,0
654_0_20251005,6140,20,0
654_0_20251005,6141,21,0
654_0_20251005,6142,22,0
654_0_20251005,6143,23,0
654_0_20251005,6144,24,0
654_0_20251005,6145,25,0
654_0_20251005,6146,26,0
654_0_20251005,6149,27,0
654_0_20251005,6150,28,0
654_0_20251005,6151,29,0
654_0_20251005,6152,30,0
654_0_20251005,6153,31,0
654_0_20251005,6155,32,0
654_0_20251005,6156,33,0
654_0_20251005,6157,34,0
654_0_20251005,6158,35,1
230_0_20251005,2002,0,1
230_0_20251005,2006,1,0
230_0_20251005,2008,2,0
230_0_20251005,2012,3,0
230_0_20251005,2024,4,0
230_0_20251005,2783,5,1
230_0_20251005,2786,6,0
230_0_20251005,2788,7,0
230_0_20251005,2789,8,0
230_0_20251005,2777,9,0
230_0_20251005,2771,10,0
230_0_20251005,2702,11,0
230_0_20251005,2142,12,0
230_0_20251005,2144,13,0
230_0_20251005,2704,14,0
230_0_20251005,2706,15,0
230_0_20251005,2530,16,1
230_0_20251005,2532,17,0
230_0_20251005,2534,18,0
230_0_20251005,2536,19,0
230_0_20251005,2538,20,0
230_0_20251005,2540,21,0
230_0_20251005,2544,22,0
230_0_20251005,2546,23,0
230_0_20251005,2548,24,1
230_1_20251005,2548,0,1
230_1_20251005,2550,1,0
230_1_20251005,2552,2,0
230_1_20251005,2554,3,0
230_1_20251005,2556,4,0
230_1_20251005,2558,5,0
230_1_20251005,2560,6,0
230_1_20251005,2562,7,0
230_1_20251005,2564,8,0
230_1_20251005,2566,9,1
