from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9001,PETO1,2,0,150__1__418__TZM__412__2__412__2_20251116,HVL__1__3835__RAIL__Rail_SaSu_+_Hol_20251116
9001,PETO1,2,0,150__1__710__TZM__405__2__405__2_20251116,HVL__1__3835__RAIL__Rail_SaSu_+_Hol_20251116
9001,PETO1,2,0,150__1__710__TZM__405__7__405__7_20251116,HVL__1__3835__RAIL__Rail_SaSu_+_Hol_20251116
2003,PORI1,2,0,226__0__111__TZM__309__6__309__6_20251116,KPL__1__6219__RAIL__Rail_MTuWThF-XHol_20251116
6733,6730,2,120,7__0__737__TZM__213__2__213__2_20251116,27__1__718__TZM__106__2__106__2_20251116
2003,PORI1,2,0,220__1__100__TZM__302__5__302__5_20251116,KPL__1__7201__RAIL__Rail_MTuWThF-XHol_20251116
PORI2,2001,2,0,KPL__0__6432__RAIL__Rail_Xmas_Sat_20251116,210__0__409__TZM__311__311_20251116
PORI2,2001,2,0,KPL__0__6432__RAIL__Rail_SaSu_+_Hol_20251116,210__0__409__TZM__311__311_20251116
PORI2,2001,2,0,KPL__0__6432__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,210__0__409__TZM__311__311_20251116
7720,7700,2,60,29__0__109__TZM__150__6__150__6_20251116,7__1__156__TZM__108__5__108__5_20251116
PORI2,2003,2,0,KPL__0__6220__RAIL__Rail_MTuWThF-XHol_20251116,220__1__108__TZM__302__5__302__5_20251116
1006,PARA1,2,0,261__1__414__UZM__704__1__704__1_20251116,KPL__1__6441__RAIL__Rail_Xmas_Sat_20251116
8165,WATE1,2,0,130__1__738__TZM__404__2__404__2_20251116,HVL__1__3851__RAIL__Rail_Xmas_Sun+Hol_20251116
8165,WATE1,2,0,130__1__426__TZM__413__2__413__2_20251116,HVL__1__3827__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
8140,WATE1,2,0,160__1__418__TZM__603__3__603__3_20251116,HVL__1__3827__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
8580,UPPE,2,240,111__0__403__TZM__503__4__503__4_20251116,HVL__1__3811__RAIL__Rail_SaSu_+_Hol_20251116
2001,PORI1,2,0,220__0__441__TZM__309__5__309__5_20251116,KPL__1__6447__RAIL__Rail_Xmas_Sat_20251116
2003,PORI1,2,0,220__1__440__TZM__305__3__305__3_20251116,KPL__1__6447__RAIL__Rail_Xmas_Sat_20251116
7700,7720,2,30,7__1__416__TZM__112__5__112__5_20251116,29__1__406__TZM__203__4__203__4_20251116
6720,7720,2,120,7__0__415__TZM__108__4__108__4_20251116,29__1__406__TZM__203__4__203__4_20251116
6055,6017,2,240,1__1__774__TZM__120__2__120__2_20251116,23__0__719__TZM__118__4__118__4_20251116
2002,PORI1,2,0,230__1__422__TZM__308__6__308__6_20251116,KPL__1__6451__RAIL__Rail_Xmas_Sat_20251116
2001,PORI1,2,0,220__0__453__TZM__311__311_20251116,KPL__1__6459__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
2003,PORI1,2,0,220__1__452__TZM__302__1__302__1_20251116,KPL__1__6459__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
PORI2,2001,2,0,KPL__0__6432__RAIL__Rail_SaSu_+_Hol_20251116,220__0__421__TZM__308__6__308__6_20251116
PORI2,2001,2,0,KPL__0__6432__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,220__0__421__TZM__308__6__308__6_20251116
PORI2,2001,2,0,KPL__0__6432__RAIL__Rail_Xmas_Sat_20251116,220__0__421__TZM__308__6__308__6_20251116
8251,TAIT1,2,0,120__1__732__TZM__603__603_20251116,HVL__1__3849__RAIL__Rail_Xmas_Day_20251116
6055,6017,2,240,1__1__226__TZM__227__1__227__1_20251116,23__0__127__TZM__234__1__234__1_20251116
6055,6017,2,240,1__1__226__TZM__227__227_20251116,23__0__127__TZM__234__234_20251116
1501,WAIK,2,240,281__0__101__UZM__4009__1__4009__1_20251116,KPL__1__6209__RAIL__Rail_MTuWThF-XHol_20251116
WATE2,9165,2,0,HVL__0__3654__RAIL__Rail_MTuWThF-XHol_20251116,150__0__155__TZM__612__612_20251116
WATE2,9165,2,0,HVL__0__3654__RAIL__Rail_MTuWThF-XHol_20251116,150__0__155__TZM__612__1__612__1_20251116
8580,UPPE,2,240,110__1__722__TZM__505__3__505__3_20251116,HVL__1__3835__RAIL__Rail_SaSu_+_Hol_20251116
8580,UPPE,2,240,110__1__440__TZM__513__2__513__2_20251116,HVL__1__3835__RAIL__Rail_SaSu_+_Hol_20251116
2002,PORI1,2,0,230__1__424__TZM__304__6__304__6_20251116,KPL__1__6455__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
8580,UPPE,2,240,110__1__710__TZM__501__3__501__3_20251116,HVL__1__3823__RAIL__Rail_Xmas_Sun+Hol_20251116
8580,UPPE,2,240,110__1__710__TZM__501__6__501__6_20251116,HVL__1__3823__RAIL__Rail_Xmas_Sun+Hol_20251116
1501,WAIK,2,240,280__0__401__UZM__706__1__706__1_20251116,KPL__1__6415__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
7720,7700,2,60,17__1__116__TZM__124__1__124__1_20251116,7__1__136__TZM__148__1__148__1_20251116
PETO2,9001,2,0,HVL__0__2628__RAIL__Rail_MTuWThF-XHol_20251116,154__0__113__TZM__412__3__412__3_20251116
PETO2,9001,2,0,HVL__0__2628__RAIL__Rail_MTuWThF-XHol_20251116,154__0__113__TZM__412__5__412__5_20251116
PETO2,9001,2,0,MEL__0__5614__RAIL__Rail_MTuWThF-XHol_20251116,154__0__113__TZM__412__3__412__3_20251116
PETO2,9001,2,0,MEL__0__5614__RAIL__Rail_MTuWThF-XHol_20251116,154__0__113__TZM__412__5__412__5_20251116
PETO2,9001,2,0,HVL__0__3822__RAIL__Rail_Xmas_Sat_+_Additional_X_Aftmid_20251116,154__0__113__TZM__412__5__412__5_20251116
SILV,8416,2,240,HVL__0__3840__RAIL__Rail_SaSu_+_Hol_20251116,115__0__415__TZM__506__4__506__4_20251116
SILV,8416,2,240,HVL__0__3840__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116,115__0__415__TZM__506__4__506__4_20251116
SILV,8416,2,240,HVL__0__3840__RAIL__Rail_Xmas_Sat_20251116,115__0__415__TZM__506__4__506__4_20251116
2003,PORI1,2,0,226__0__117__TZM__314__314_20251116,KPL__1__6229__RAIL__Rail_MTuWThF-XHol_20251116
2003,PORI1,2,0,226__0__117__TZM__314__1__314__1_20251116,KPL__1__6229__RAIL__Rail_MTuWThF-XHol_20251116
8251,TAIT1,2,0,120__1__730__TZM__408__2__408__2_20251116,HVL__1__3847__RAIL__Rail_Xmas_Sun+Hol_20251116
8140,WATE1,2,0,170__0__177__TZM__434__1__434__1_20251116,HVL__1__3647__RAIL__Rail_MTuWThF-XHol_20251116
8140,WATE1,2,0,170__0__177__TZM__434__434_20251116,HVL__1__3647__RAIL__Rail_MTuWThF-XHol_20251116
8140,WATE1,2,0,160__1__458__TZM__601__4__601__4_20251116,HVL__1__3867__RAIL__Rail_SaSu_+_Hol_20251116
8140,WATE1,2,0,160__1__730__TZM__408__2__408__2_20251116,HVL__1__3867__RAIL__Rail_SaSu_+_Hol_20251116
8165,WATE1,2,0,130__1__180__TZM__401__6__401__6_20251116,HVL__1__3629__RAIL__Rail_MTuWThF-XHol_20251116
3000,3000,2,240,1__0__169__TZM__211__5__211__5_20251116,19__0__155__TZM__224__1__224__1_20251116
8580,UPPE,2,240,111__0__447__TZM__506__4__506__4_20251116,HVL__1__3855__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
8580,UPPE,2,240,112__1__410__TZM__503__4__503__4_20251116,HVL__1__3835__RAIL__Rail_SaSu_+_Hol_20251116
9001,PETO1,2,0,150__1__720__TZM__403__403_20251116,HVL__1__3855__RAIL__Rail_Xmas_Day_20251116
8580,UPPE,2,240,110__1__432__TZM__510__2__510__2_20251116,HVL__1__3831__RAIL__Rail_Xmas_Sat_X_Additional_X_Aftmid_20251116
8140,WATE1,2,0,170__0__453__TZM__605__605_20251116,HVL__1__3861__RAIL__Rail_Xmas_Sat_20251116
8251,TAIT1,2,0,120__1__212__TZM__405__6__405__6_20251116,HVL__1__3657__RAIL__Rail_MTuWThF-XHol_20251116
