route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
1120,511_3_20251005,112__1__126__TZM__511__3__511__3_20251005,Upper Hutt,1,,[@6.0.22024228@]1_20251005,,2,126
40,33_2_20251005,4__1__108__NBM__33__2__33__2_20251005,Mairangi,1,,[@12.0.9098835@]2_20251005,,2,108
20,19_2_20251005,2__1__252__NBM__19__2__19__2_20251005,Miramar,1,,[@12.0.11838882@]10_20251005,,2,252
210,45_5_20251005,21__0__163__NBM__45__5__45__5_20251005,Wrights Hill,0,,[@12.0.12465631@]2_20251005,,2,163
2360,306_7_20251005,236__0__123__TZM__306__7__306__7_20251005,Whitby Navigation Drive,0,,[@368.0.24016932@]236:673#21516#21554_20251005,,2,123
2360,302_20251005,236__1__702__TZM__302__302_20251005,Porirua Station,1,,[@368.0.24016932@]236:664#21302#21336_20251005,,2,702
10,102_20251005,1__0__781__TZM__102__102_20251005,Churton Park,0,,[@364.0.17528045@]7_20251005,,2,781
10,201_4_20251005,1__1__502__TZM__201__4__201__4_20251005,Island Bay,1,,[@368.0.18996598@]1_20251005,,2,502
5,Rail MTuWThF-XHol_20251005,HVL__0__3660__RAIL__Rail_MTuWThF-XHol_20251005,Upper Hutt,0,,[@6.0.20608367@]HVL:793#24218#24233_20251005,,2,3660
2300,318_8_20251005,230__1__136__TZM__318__8__318__8_20251005,Porirua Station,1,,[@368.0.24016921@]230:656#21228#21251_20251005,,2,136
200,24_1_20251005,20__1__726__NBM__24__1__24__1_20251005,Wellington Station,1,,[@12.0.9097333@]9_20251005,,2,726
10,234_1_20251005,1__1__178__TZM__234__1__234__1_20251005,Island Bay,1,,[@368.0.18996598@]1_20251005,,2,178
1450,418_2_20251005,145__1__410__TZM__418__2__418__2_20251005,Lower Hutt,1,,[@368.0.17359674@]1_20251005,,2,410
250,215_6_20251005,25__1__148__TZM__215__6__215__6_20251005,Highbury,1,,[@6.0.22281071@]2_20251005,,2,148
1140,506_4_20251005,114__0__403__TZM__506__4__506__4_20251005,Trentham,0,,[@356.0.42935130@]2_20251005,,2,403
220,2_4_20251005,22__0__218__NBM__2__4__2__4_20251005,Johnsonville,0,,[@368.0.53453009@]4_20251005,,2,218
140,100_20251005,14__0__183__NBM__100__100_20251005,Wilton,0,,[@12.0.11836100@]2_20251005,,2,183
190,201_1_20251005,19__0__745__TZM__201__1__201__1_20251005,Johnsonville,0,,[@364.0.17528164@]1_20251005,,2,745
2360,307_5_20251005,236__1__420__TZM__307__5__307__5_20251005,Porirua Station,1,,[@368.0.24016932@]236:664#21302#21336_20251005,,2,420
